X,Y,Name,
-35.7440630793019,-9.63222363373693,ST- 00 C- 00
-35.7429103452557,-9.64050790864517,ST-00 C- 00
-35.741937192365,-9.63959565466431,ST- 00 C- 00
-35.7403604260029,-9.64041134047669,ST- 00 C- 00
-35.7405574969743,-9.63291404811203,ST- 00 C- 00
-35.7406201553329,-9.63277789053888,ST- 00 C- 01
-35.7408208878724,-9.6386804624742,ST- 00 C- 01
-35.7464346439311,-9.63769932355216,ST- 01 C- 00
-35.748499725186,-9.62532644737183,ST- 01 C- 00
-35.7449529446532,-9.62987875997346,ST- 01 C- 00
-35.7432716145952,-9.64507554293683,ST- 01 C- 01
-35.7488694227791,-9.63619611615442,ST- 02 C- 00
