X,Y,Name,
-35.7418199519277,-9.62973709194405,Polígono 1
-35.7406361744733,-9.63384380049358,Polígono 2
-35.7401710757606,-9.63778055218794,Polígono 3
-35.7420628587035,-9.63519442137536,Polígono 4
-35.7432597257504,-9.63252425500565,Polígono 5
-35.7438051097165,-9.6363555140246,Polígono 6
-35.7448700364927,-9.63633173639477,Polígono 7
-35.7447581228621,-9.63708335158487,Polígono 8
-35.7421454591887,-9.63863390112519,Polígono 9
-35.7482952923889,-9.62876784534295,Polígono 10
-35.7447719236484,-9.62790732945736,Polígono 11
-35.7457220820934,-9.62737122593246,Polígono 12
-35.7461775143601,-9.62916714792285,Polígono 13
-35.7480782137313,-9.62832802360194,Polígono 14
