X,Y,Name,
-35.7403421557718,-9.64045748558944,Polígono 1
-35.7439305016183,-9.63906965933465,Polígono 2
-35.7431867514659,-9.63704837294989,Polígono 3
-35.7441208473606,-9.63599054200741,Polígono 4
-35.7444483503136,-9.63541275668702,Polígono 5
-35.7456111568914,-9.63595461283094,Polígono 6
-35.7463101410145,-9.63520753835025,Polígono 7
-35.7442230135167,-9.63391309859603,Polígono 8
-35.7452586260395,-9.63249041287418,Polígono 9
-35.7452857862845,-9.63020479614889,Polígono 10
-35.7451903385919,-9.62902637783948,Polígono 11
-35.7456586375243,-9.62853268017461,Polígono 12
-35.7503545607155,-9.62813095577765,Polígono 13
-35.7453584050051,-9.62592944554202,Polígono 14
-35.7444054208148,-9.6288818251414,Polígono 15
-35.7422977974374,-9.63114903845796,Polígono 16
-35.7408027263061,-9.63490298386263,Polígono 17
-35.7412551458363,-9.62811064418731,Polígono 18
-35.7393400472677,-9.63057877226615,Polígono 19
